"prov";"comune";"id_sito";"codice_regionale";"codice_provinciale";"cause";"interventi";"coord_x";"coord_y";"data_agg";"stato_procedimento";"longitudine";"latitudine";"esito_coordinate"
"ALESSANDRIA";"VALENZA";"2397";"01-02397";"AL-00213";"Sversamenti incidentali su suolo e acque";"VERIFICA IN CORSO";"472727,0";"4984114,0";"2026-09-07T00:00:00.000Z";"ATTIVO";"8.6539032";"45.0099502";"OK"
"ALESSANDRIA";"TORTONA";"2427";"01-02427";"AL-00215";"Eventi accidentali";"MESSA IN SICUREZZA OPERATIVA";"487435,0";"4970959,0";"2026-09-07T00:00:00.000Z";"ATTIVO";"8.8408754";"44.8919424";"OK"
"ALESSANDRIA";"TORTONA";"2453";"01-02453";"AL-00224";"Eventi accidentali";"BONIFICA E RIPRISTINO AMBIENTALE";"489952,0";"4976345,0";"2026-09-07T00:00:00.000Z";"CONCLUSO";"8.8726439";"44.9404673";"OK"
"ALESSANDRIA";"TORTONA";"2479";"01-02479";"AL-00229";"";"INTERVENTO NON NECESSARIO A SEGUITO ANALISI DI RISCHIO";"489982,0";"4976559,0";"2026-09-07T00:00:00.000Z";"CONCLUSO";"8.8730199";"44.9423942";"OK"
"ALESSANDRIA";"TORTONA";"2482";"01-02482";"AL-00230";"Sversamenti incidentali su suolo e acque";"INTERVENTO NON NECESSARIO";"488612,0";"4972011,0";"2026-09-07T00:00:00.000Z";"ATTIVO";"8.8557574";"44.9014324";"OK"
"ALESSANDRIA";"SALE";"2488";"01-02488";"AL-00231";"Presenza di sostanze inquinanti dovuta a cattiva gestione di impianti o strutture";"BONIFICA E RIPRISTINO AMBIENTALE";"484655,0";"4980501,0";"2026-09-07T00:00:00.000Z";"ATTIVO";"8.8053795";"44.9777848";"OK"
"ALESSANDRIA";"MOLINO DEI TORTI";"2490";"01-02490";"AL-00232";"Presenza di sostanze inquinanti dovuta a cattiva gestione di impianti o strutture";"VERIFICA IN CORSO";"491425,0";"4985244,0";"2026-09-07T00:00:00.000Z";"ATTIVO";"8.8911623";"45.0205949";"OK"
"ALESSANDRIA";"BOSCO MARENGO";"2497";"01-02497";"AL-00234";"Presenza di sostanze inquinanti dovuta a cattiva gestione di impianti o strutture";"VERIFICA IN CORSO";"479957,0";"4964111,0";"2026-09-07T00:00:00.000Z";"ATTIVO";"8.7464447";"44.8301251";"OK"
"ALESSANDRIA";"ALESSANDRIA";"2538";"01-02538";"AL-00239";"Incidenti a pipe line";"BONIFICA E RIPRISTINO AMBIENTALE";"468207,0";"4977660,0";"2026-09-07T00:00:00.000Z";"CONCLUSO";"8.5969526";"44.9516648";"OK"
"ALESSANDRIA";"VALENZA";"2541";"01-02541";"AL-00241";"Sversamenti incidentali su suolo e acque";"BONIFICA E RIPRISTINO AMBIENTALE";"471557,0";"4982641,0";"2026-09-07T00:00:00.000Z";"CONCLUSO";"8.6391393";"44.9966447";"OK"
"ALESSANDRIA";"SALE";"2542";"01-02542";"AL-00242";"";"INTERVENTO NON NECESSARIO A SEGUITO ANALISI DI RISCHIO";"485235,0";"4981092,0";"2026-09-07T00:00:00.000Z";"CONCLUSO";"8.8127183";"44.9831172";"OK"
"ALESSANDRIA";"CASALE MONFERRATO";"2573";"01-02573";"AL-00246";"Sversamenti incidentali su suolo e acque";"INTERVENTO NON NECESSARIO";"455784,0";"4995081,0";"2026-09-07T00:00:00.000Z";"ATTIVO";"8.4379370";"45.1078146";"OK"
"ALESSANDRIA";"PONTECURONE";"2607";"01-02607";"AL-00247";"Sversamenti incidentali su suolo e acque";"INTERVENTO NON NECESSARIO A SEGUITO ANALISI DI RISCHIO";"494870,0";"4978833,0";"2026-09-07T00:00:00.000Z";"CONCLUSO";"8.9349531";"44.9629168";"OK"
"ALESSANDRIA";"ALESSANDRIA";"2610";"01-02610";"AL-00248";"";"INTERVENTO NON NECESSARIO A SEGUITO ANALISI DI RISCHIO";"464657,0";"4975700,0";"2026-09-07T00:00:00.000Z";"CONCLUSO";"8.5520869";"44.9338537";"OK"
"ALESSANDRIA";"ALESSANDRIA";"2643";"01-02643";"AL-00250";"Sversamenti incidentali su suolo e acque";"INTERVENTO NON NECESSARIO A SEGUITO ANALISI DI RISCHIO";"469111,0";"4972800,0";"2026-09-07T00:00:00.000Z";"CONCLUSO";"8.6087097";"44.9079558";"OK"
"ALESSANDRIA";"ACQUI TERME";"2651";"01-02651";"AL-00251";"Sversamenti incidentali su suolo e acque";"INTERVENTO NON NECESSARIO A SEGUITO ANALISI DI RISCHIO";"460325,0";"4947605,0";"2026-09-07T00:00:00.000Z";"CONCLUSO";"8.4993805";"44.6807172";"OK"
